from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
B04,ARG1,Bayer 04 Leverkusen,CA River Plate,Exequiel Palacios,17000000,7,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/401578/transfer_id/2726673
B04,ARG1,Bayer 04 Leverkusen,CA River Plate,Lucas Alario,24.000.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/193782/transfer_id/1903497
B04,AUT1,Bayer 04 Leverkusen,Red Bull Salzburg,Andre Ramalho,0,1,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/175792/transfer_id/1148046
B04,BEL1,Bayer 04 Leverkusen,RSC Anderlecht,Isaac Kiese Thelin,1000000,4,2,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/201311/transfer_id/2214255
B04,BEL1,Bayer 04 Leverkusen,KRC Genk,Leon Bailey,13500000,7,1,1617,2017,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/387626/transfer_id/1690465
B04,BRA1,Bayer 04 Leverkusen,Gremio Porto Alegre,Wendell,6.500.000,6,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/228433/transfer_id/1027448
B04,BRA1,Bayer 04 Leverkusen,SC Internacional Porto Alegre,Charles Aranguiz,13000000,7,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/89701/transfer_id/1317673
B04,BRA1,Bayer 04 Leverkusen,Vasca da Game Rio de Janeiro,Paulinho,18500000,7,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/428791/transfer_id/2096140
B04,BRA2,Bayer 04 Leverkusen,Desportivo Brasil Ltda,Carlinhos,100000,2,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/226155/transfer_id/736216
B04,BSC,Bayer 04 Leverkusen,Hertha BSC,Mitchell Weiser,12000000,7,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/119211/transfer_id/2101608
B04,BVB,Bayer 04 Leverkusen,Borussia Dortmund,Kevin Kampl,11000000,7,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/53418/transfer_id/1330449
B04,BVB,Bayer 04 Leverkusen,Borussia Dortmund,Sven Bender,12.500.000,7,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/29993/transfer_id/1834176
B04,CHL1,Bayer 04 Leverkusen,Club Universidad de Chile,Junior Fernandes,4700000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/89708/transfer_id/743527
B04,CRO1,Bayer 04 Leverkusen,HNK Rijeka,Zvonko Pamic,500.000,3,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/47624/transfer_id/412514
B04,CRO1,Bayer 04 Leverkusen,NK Osijek,Domagoj Vida,2.400.000,5,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/46083/transfer_id/414391
B04,DNK2,Bayer 04 Leverkusen,Akademisk Boldklub,Nicolai Joergensen,800.000,4,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/100399/transfer_id/444342
B04,ENG1,Bayer 04 Leverkusen,FC Chelsea,Michael Ballack,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/63/transfer_id/430268
B04,ENG1,Bayer 04 Leverkusen,Tottenham Hotspur,Vedran Corluka,550000,4,2,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/34393/transfer_id/680740
B04,ENG1,Bayer 04 Leverkusen,Manchester United,Timothy Fosu Mensah,1700000,5,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/315131/transfer_id/3203510
B04,ENG1,Bayer 04 Leverkusen,Leicester City,Demarai Gray,2000000,5,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/292417/transfer_id/3229579
B04,ENG1,Bayer 04 Leverkusen,Manchester United,Chicharito,12000000,7,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/50935/transfer_id/1333170
B04,ESP1,Bayer 04 Leverkusen,FC Sevilla,Andres Palop,0,1,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/7563/transfer_id/878648
B04,ESP1,Bayer 04 Leverkusen,FC Sevilla,Emir Spahic,400.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/25812/transfer_id/895719
B04,ESP1,Bayer 04 Leverkusen,FC Valencia,Andres Guardado,1.000.000,4,2,1314,2014,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/20506/transfer_id/1010076
B04,ESP1,Bayer 04 Leverkusen,Atletico Madrid,Santiago Arias,3000000,5,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120443/transfer_id/3075174
B04,ESP1,Bayer 04 Leverkusen,Real Madrid,Daniel Carvajal,5000000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/138927/transfer_id/746665
B04,FCA,Bayer 04 Leverkusen,FC Augsburg,Dominik Kohr,2.000.000,5,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/118847/transfer_id/1745847
B04,FCB,Bayer 04 Leverkusen,FC Bayern Muenchen,Emre Can,5.000.000,5,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/119296/transfer_id/922655
B04,FCI,Bayer 04 Leverkusen,FC Ingolstadt 04,Danny da Costa,500000,3,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/85906/transfer_id/1477040
B04,FCI,Bayer 04 Leverkusen,FC Ingolstadt 04,Ramazan Oezcan,500000,3,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/16498/transfer_id/1509546
B04,FCN,Bayer 04 Leverkusen,1.FC Nuernberg,Thorsten Kirschbaum,0,1,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/38346/transfer_id/2149082
B04,FCN,Bayer 04 Leverkusen,1.FC Nuernberg,Philipp Wollscheid,7000000,6,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/53173/transfer_id/654054
B04,FRA1,Bayer 04 Leverkusen,FC Paris SaintGermain,Moussa Diaby,15000000,7,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/395516/transfer_id/2508019
B04,GER2,Bayer 04 Leverkusen,SpVgg Greuther Fuerth,Kevin Kampl,0,1,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53418/transfer_id/511270
B04,GER2,Bayer 04 Leverkusen,Eintracht Braunschweig,Karim Bellarabi,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/61087/transfer_id/523313
B04,GER2,Bayer 04 Leverkusen,1.FC Koeln,Michael Rensing,0,1,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2421/transfer_id/776587
B04,GER2,Bayer 04 Leverkusen,MSV Duisburg,David Yelldell,260000,3,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/4746/transfer_id/595787
B04,GER2,Bayer 04 Leverkusen,Karlsruher SC,Jonas Meffert,600000,4,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/107574/transfer_id/1477047
B04,GER2,Bayer 04 Leverkusen,Fortuna Duesseldorf,Robbie Kruse,1.500.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51972/transfer_id/874257
B04,GER2,Bayer 04 Leverkusen,1.FC Nuernberg,Josip Drmic,6.800.000,6,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/140579/transfer_id/1060961
B04,GER2,Bayer 04 Leverkusen,SC Freiburg,Admir Mehmedi,8000000,6,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/66058/transfer_id/1258601
B04,GER3,Bayer 04 Leverkusen,1.FC Kaiserslautern,Lennart Grill,2000000,5,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/309397/transfer_id/2860060
B04,GRE1,Bayer 04 Leverkusen,PAOK Thessaloniki,Konstantinos Stafylidis,1500000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/148967/transfer_id/756509
B04,GRE1,Bayer 04 Leverkusen,Olympiakos Piraeus,Panagiotis Retsos,17.500.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/324351/transfer_id/1899264
B04,H96,Bayer 04 Leverkusen,Hannover 96,Hanno Balitsch,0,1,1,1011,2010,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/823/transfer_id/421776
B04,HSV,Bayer 04 Leverkusen,Hamburger SV,Levin Oeztunali,0,1,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/168543/transfer_id/833348
B04,HSV,Bayer 04 Leverkusen,Hannover 96,Sidney Sam,2.000.000,5,1,1011,2010,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39102/transfer_id/419705
B04,HSV,Bayer 04 Leverkusen,Hamburger SV,Jonathan Tah,7500000,6,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/196357/transfer_id/1288453
B04,HSV,Bayer 04 Leverkusen,Hamburger SV,Heung min Son,12.500.000,7,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/91845/transfer_id/884865
B04,HSV,Bayer 04 Leverkusen,Hamburger SV,Hakan Calhanoglu,15.250.000,7,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/126414/transfer_id/1078517
B04,ITA1,Bayer 04 Leverkusen,AS Rom,Tin Jedvaj,1.000.000,4,2,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/206386/transfer_id/1068713
B04,ITA1,Bayer 04 Leverkusen,Inter Mailand,Gulio Donati,3.000.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/88684/transfer_id/891241
B04,ITA1,Bayer 04 Leverkusen,AS Rom,Tin Jedvaj,7.000.000,6,1,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/206386/transfer_id/1177377
B04,ITA1,Bayer 04 Leverkusen,AS Rom,Patrik Schick,26500000,7,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/242086/transfer_id/3051575
B04,JAP1,Bayer 04 Leverkusen,Urawa Red Diamonds,Hajime Hosogai,0,1,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/79355/transfer_id/512924
B04,KOR1,Bayer 04 Leverkusen,Jeju United,Seung woo Ryu,75.000,2,2,1314,2014,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/261406/transfer_id/986867
B04,M05,Bayer 04 Leverkusen,1.FSV Mainz 05,Dario Kresic,0,1,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/14219/transfer_id/1064112
B04,M05,Bayer 04 Leverkusen,1.FSV Mainz 05,Julian Baumgartlinger,4000000,5,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/34787/transfer_id/1485941
B04,M05,Bayer 04 Leverkusen,1.FSV Mainz 05,Andre Schuerrle,8500000,6,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/58205/transfer_id/568500
B04,MEX1,Bayer 04 Leverkusen,Atlas Guadalajara,Michael Ortega,99,1,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119988/transfer_id/624317
B04,NED1,Bayer 04 Leverkusen,Ajax Amsterdam,Daley Sinkgraven,5000000,5,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/215099/transfer_id/2511419
B04,POL1,Bayer 04 Leverkusen,Gornik Zabrze,Arkadiusz Milik,2600000,5,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/191891/transfer_id/810356
B04,POR1,Bayer 04 Leverkusen,Vitoria Guimaraes SC,Edmond Tapsoba,18000000,7,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/564545/transfer_id/2781511
B04,S04,Bayer 04 Leverkusen,FC Schalke 04,Kyriakos Papadopoulos,1.000.000,4,2,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/58489/transfer_id/1102300
B04,S04,Bayer 04 Leverkusen,FC Schalke 04,Kyriakos Papadopoulos,6500000,6,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/58489/transfer_id/1255646
B04,SCF,Bayer 04 Leverkusen,SC Freiburg,Oemer Toprak,3000000,5,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/43512/transfer_id/568472
B04,SCO1,Bayer 04 Leverkusen,Celtic Glasgow,Jeremie Frimpong,11000000,7,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/484547/transfer_id/3223873
B04,SGE,Bayer 04 Leverkusen,Eintracht Frankfurt,Lukas Hradecky,0,1,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/48015/transfer_id/2092058
B04,TSG,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,Eren Derdiyok,500.000,3,2,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/47543/transfer_id/940427
B04,TSG,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,Nadiem Amiri,9000000,6,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/232454/transfer_id/2581905
B04,TSG,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,Kevin Volland,20000000,7,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/82009/transfer_id/1486198
B04,TSG,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,Kerem Demirbay,32000000,7,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/125858/transfer_id/2470493
B04,TUR1,Bayer 04 Leverkusen,Besiktas Instanbul,Robert Hilbert,0,1,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3256/transfer_id/872259
B04,UKR1,Bayer 04 Leverkusen,Shakhtar 3 Donetsk,Vladlen Yurchenko,255.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/157373/transfer_id/1074792
B04,UKR1,Bayer 04 Leverkusen,Dynamo Kiew,Aleksander Dragovic,21000000,7,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/59032/transfer_id/1579023
B04,VFB,Bayer 04 Leverkusen,VfB Stuttgart,Bernd Leno,500000,3,2,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/72476/transfer_id/620069
B04,VFB,Bayer 04 Leverkusen,VfB Stuttgart,Bernd Leno,7500000,6,1,1112,2012,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/72476/transfer_id/655496
B04,WOL,Bayer 04 Leverkusen,VfL Wolfsburg,Julian Brandt,500.000,3,1,1314,2014,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/187492/transfer_id/984565
