to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid,,,
FCB,AUT1,FC Bayern Muenchen,SV RIed,Ivan Lucic,400.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/164145/transfer_id/1050533
FCB,BMG,FC Bayern Muenchen,Borussia Moenchengladbach,Sinan Kurt,3.000.000,5,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/170530/transfer_id/1121849
FCB,BMG,FC Bayern Muenchen,Borussia Moenchengladbach,Dante,4700000,5,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/16136/transfer_id/712466
FCB,BMG,FC Bayern Muenchen,Borussia Moenchengladbach,Michael Cuisance,8000000,6,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/344600/transfer_id/2610487
FCB,BRE,FC Bayern Muenchen,SV Werder Bremen,Claudio Pizarro,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/532/transfer_id/721472
FCB,BRE,FC Bayern Muenchen,SV Werder Bremen,Serge Gnabry,8.000.000,6,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/159471/transfer_id/1786448
FCB,BVB,FC Bayern Muenchen,Borussia Dortmund,Robert Lewandowski,0,1,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/38253/transfer_id/993755
FCB,BVB,FC Bayern Muenchen,Borussia Dortmund,Mats Hummels,35000000,7,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39728/transfer_id/1480546
FCB,BVB,FC Bayern Muenchen,Borussia Dortmund,Mario Goetze,37.000.000,7,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/74842/transfer_id/863828
FCB,ENG1,FC Bayern Muenchen,FC Liverpool,Pepe Reina,3.000.000,5,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/7825/transfer_id/1104602
FCB,ENG1,FC Bayern Muenchen,Manchester City,Jerome Boateng,13500000,7,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/26485/transfer_id/602948
FCB,ENG1,FC Bayern Muenchen,Manchester City,Leroy Sane,45000000,7,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/192565/transfer_id/2954050
FCB,ESP1,FC Bayern Muenchen,Real Madrid,Alvaro Odriozola,99,1,2,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/280730/transfer_id/2768186
FCB,ESP1,FC Bayern Muenchen,FC Barcelona,Philippe Coutinho,8500000,6,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/80444/transfer_id/2612612
FCB,ESP1,FC Bayern Muenchen,Real Madrid,Xabi Alonso,9.000.000,6,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/7476/transfer_id/1120471
FCB,ESP1,FC Bayern Muenchen,FC Valencia,Juan Bernat,10.000.000,6,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/126719/transfer_id/1081168
FCB,ESP1,FC Bayern Muenchen,Real Madrid,James Rodriguez,13.000.000,7,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/88103/transfer_id/1830951
FCB,ESP1,FC Bayern Muenchen,FC Barcelona,Thiago,25.000.000,7,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/60444/transfer_id/908804
FCB,ESP1,FC Bayern Muenchen,Athletic Bilbao,Javi Martinez,40000000,7,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/44017/transfer_id/776723
FCB,ESP1,FC Bayern Muenchen,Atletico Madrid,Lucas Hernandez,80000000,7,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/281963/transfer_id/2438348
FCB,ESP2,FC Bayern Muenchen,Espanyol Barcelona,Marc Roca,9000000,6,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/336869/transfer_id/3086999
FCB,FCI,FC Bayern Muenchen,FC Ingolstadt 04,Karl Heinz Lappe,0,1,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/101449/transfer_id/1245230
FCB,FRA1,FC Bayern Muenchen,FC Paris Saint Germain,Tanguy Nianzou,0,1,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/538996/transfer_id/2951022
FCB,FRA1,FC Bayern Muenchen,FC Paris Saint Germain,Eric Maxim Choupo Moting,0,1,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45660/transfer_id/3088436
FCB,FRA1,FC Bayern Muenchen,Olympique Marseille,Bouna Sarr,8000000,6,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/190685/transfer_id/3088708
FCB,FRA1,FC Bayern Muenchen,Olympique Lyon,Corentin Tolisso,41.500.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/190393/transfer_id/1793186
FCB,GER2,FC Bayern Muenchen,1.FC Koeln,Mitchell Weiser,800000,4,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119211/transfer_id/746871
FCB,GER2,FC Bayern Muenchen,FC Energie Cottbus,Nils Petersen,2800000,5,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/42936/transfer_id/573316
FCB,GER2,FC Bayern Muenchen,Hamburger SV,Fiete Arp,3000000,5,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/343337/transfer_id/2397668
