from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
GER2,B04,Alemannia Aachen,Bayer 04 Leverkusen,Tomasz Zdebel,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3836/transfer_id/409312
GER2,B04,Fortuna Duesseldorf,Bayer 04 Leverkusen,Sascha Dum,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/20551/transfer_id/427008
GER2,B04,FC Augsburg,Bayer 04 Leverkusen,Lukas Sinkiewicz,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/17134/transfer_id/453962
GER2,B04,SpVgg Greuther Fuerth,Bayer 04 Leverkusen,Kevin Kampl,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53418/transfer_id/473986
GER2,BMG,FC Augsburg,Borussia Moenchengladbach,Thomas Kleine,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1116/transfer_id/410010
GER2,BMG,Arminia Bielefeld,Borussia Moenchengladbach,Oliver Neuville,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/81/transfer_id/410007
GER2,BMG,Rot Weiss Oberhausen,Borussia Moenchengladbach,Mosos Lamidi,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/36193/transfer_id/396746
GER2,BVB,1.FC Union Berlin,Borussia Dortmund,Marcel Hoettecke,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/40462/transfer_id/413988
GER2,FCB,Hertha BSC,FC Bayern Muenchen,Christian Lell,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2233/transfer_id/435939
GER2,FCB,FC Ingolstadt 04,FC Bayern Muenchen,Andreas Goerlitz,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1742/transfer_id/421767
GER2,FCK,Rot Weiss Oberhausen,1.FC Kaiserslautern,Mario Klinger,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/32760/transfer_id/414662
GER2,FCK,Karlsruher SC,1.FC Kaiserslautern,Luis Robles,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/47289/transfer_id/463078
GER2,FCN,FSV Frankfurt,1.FC Nuernberg,Jaouhar Mnari,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31199/transfer_id/421299
GER2,KOE,FC Ingolstadt 04,1.FC Koeln,Sebastian Zielinsky,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/26146/transfer_id/420158
GER2,M05,FSV Frankfurt,1.FSV Mainz 05,Tufan Tosunoglu,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/37685/transfer_id/453964
GER2,SCF,TSV 1860 Muenchen,SC Freiburg,Eke Uzoma,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/43500/transfer_id/441124
GER2,SCF,FSV Frankfurt,SC Freiburg,Michael Langer,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/19114/transfer_id/414116
GER2,SGE,VfL Bochum,Eintracht Frankfurt,Faton Toski,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/39392/transfer_id/430555
GER2,SGE,Alemannia Aachen,Eintracht Frankfurt,Juvhel Tsoumou,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/42485/transfer_id/439099
GER2,BMG,FC Augsburg,Borussia Moenchengladbach,Jan Ingwer Callsen Bracker,0,1,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3851/transfer_id/516572
GER2,BMG,SpVgg Greuther Fuerth,Borussia Moenchengladbach,Christian Dorda,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/36189/transfer_id/583876
