from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
TSG,AUT1,TSG 1899 Hoffenheim,SV Groedig,Christoph Martschinko,99,1,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120191/transfer_id/1265887
TSG,AUT1,TSG 1899 Hoffenheim,SV Kapfenberg,Michael Gregoritsch,200000,3,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120205/transfer_id/585709
TSG,AUT1,TSG 1899 Hoffenheim,SK Rapid Wien,Marko Maric,500000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/183793/transfer_id/1263836
TSG,AUT1,TSG 1899 Hoffenheim,Red Bull Salzburg,Felipe Pires,1000000,4,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/327911/transfer_id/1328151
TSG,AUT1,TSG 1899 Hoffenheim,Red Bull Salzburg,Diadie Samassekou,14000000,7,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/315604/transfer_id/2608242
TSG,B04,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,Eren Derdiyok,5500000,6,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/47543/transfer_id/714107
TSG,BEL1,TSG 1899 Hoffenheim,KRC Genk,Koen Casteels,1200000,5,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/108880/transfer_id/603835
TSG,BEL1,TSG 1899 Hoffenheim,Standard Luettich,Ishak Belfodil,5500000,6,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/111039/transfer_id/2108242
TSG,BMG,TSG 1899 Hoffenheim,Borussia Moenchengladbach,Igor de Camargo,600000,4,2,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/13023/transfer_id/830744
TSG,BMG,TSG 1899 Hoffenheim,Borussia Moenchengladbach,Igor de Camargo,1.400.000,5,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/13023/transfer_id/875790
TSG,BMG,TSG 1899 Hoffenheim,Borussia Moenchengladbach,Nico Schulz,3.000.000,5,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/85867/transfer_id/1826954
TSG,BMG,TSG 1899 Hoffenheim,Borussia Moenchengladbach,Vincenzo Grifo,5500000,6,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/185077/transfer_id/2130964
TSG,BRA1,TSG 1899 Hoffenheim,Gremio Porto Alegre,Guilherme Biteco,1500000,5,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/212902/transfer_id/816150
TSG,BRA1,TSG 1899 Hoffenheim,Sport Recife,Joelinton,2200000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/333241/transfer_id/1255130
TSG,BRA1,TSG 1899 Hoffenheim,Tombense Futebol Clube,Roberto Firmino,4.000.000,5,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/131789/transfer_id/509793
TSG,BRA2,TSG 1899 Hoffenheim,Tombense Futebol Club,Bruno Nazario,1.500.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/250010/transfer_id/936353
TSG,BRA2,TSG 1899 Hoffenheim,Esporte Clube Vitoria,Lucas Ribeiro,3000000,5,1,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/605893/transfer_id/2384821
TSG,BRE,TSG 1899 Hoffenheim,SV Werder Bremen,Tim Wiese,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1474/transfer_id/706093
TSG,BRE,TSG 1899 Hoffenheim,SV Werder Bremen,Florian Grillitsch,0,1,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/195736/transfer_id/1676266
TSG,BVB,TSG 1899 Hoffenheim,Borussia Dortmund,Felix Passlack,99,1,2,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/274461/transfer_id/1897589
TSG,BVB,TSG 1899 Hoffenheim,Borussia Dortmund,Jacob Bruun Larsen,9000000,6,1,1920,2020,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/293281/transfer_id/2781079
TSG,CZE1,TSG 1899 Hoffenheim,AC Sparta Prag,Pavel Kaderabek,3500000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/143798/transfer_id/1262055
TSG,D98,TSG 1899 Hoffenheim,SV Darmstadt 98,Sandro Wagner,2.800.000,5,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39743/transfer_id/1519332
TSG,DNK1,TSG 1899 Hoffenheim,FC Kopenhagen,Robert Skov,10000000,6,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/270393/transfer_id/2577388
TSG,ENG1,TSG 1899 Hoffenheim,Leicester City,Andrej Kramaric,99,1,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/46580/transfer_id/1413178
TSG,ENG1,TSG 1899 Hoffenheim,Brighton Hove Albion,Juergen Locadia,99,1,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/166240/transfer_id/2626532
TSG,ENG1,TSG 1899 Hoffenheim,Tottenham Hotspur,Ryan Sessegnon,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/392775/transfer_id/3087678
TSG,ENG1,TSG 1899 Hoffenheim,Tottenham Hotspur,Heurelho Gomes,400000,3,2,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/19059/transfer_id/832089
TSG,ENG1,TSG 1899 Hoffenheim,FC Arsenal,Reiss Nelson,500000,3,2,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/340325/transfer_id/2247185
TSG,ENG1,TSG 1899 Hoffenheim,FC Liverpool,Ryan Babel,7.000.000,6,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/16135/transfer_id/531652
TSG,ENG1,TSG 1899 Hoffenheim,West Ham United,Harvard Nordtveit,8.000.000,6,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/42234/transfer_id/1799843
TSG,ENG1,TSG 1899 Hoffenheim,Leicester City,Andrej Kramaric,11.000.000,7,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/46580/transfer_id/1489759
TSG,ENG2,TSG 1899 Hoffenheim,FC Reading,Gylfi Sigurdsson,5.200.000,6,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/90466/transfer_id/479741
TSG,ESP1,TSG 1899 Hoffenheim,FC Getafe,David Abraham,4000000,5,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/58178/transfer_id/826296
TSG,ESP1,TSG 1899 Hoffenheim,Real Madrid,Joselu,6000000,6,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/81999/transfer_id/764957
TSG,ESP1,TSG 1899 Hoffenheim,FC Sevilla,Munas Dabbur,12000000,7,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/145866/transfer_id/2748379
TSG,FCA,TSG 1899 Hoffenheim,FC Augsburg,Konstantinos Stafylidis,0,1,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/148967/transfer_id/2476439
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Edson Braafheid,0,1,1,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/16731/transfer_id/532225
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,David Alaba,99,1,2,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/59016/transfer_id/516919
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Chris Richards,250000,3,2,2021,2021,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/578539/transfer_id/3232013
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Serge Gnabry,1.000.000,4,2,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/159471/transfer_id/1835894
TSG,FCI,TSG 1899 Hoffenheim,FC Ingolstadt 04,Benjamin Huebner,800.000,4,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/52348/transfer_id/1486066
TSG,FIN1,TSG 1899 Hoffenheim,HJK Helsinki,Jukka Raitala,250.000,3,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/47785/transfer_id/410021
TSG,FRA1,TSG 1899 Hoffenheim,FC Stade Rennes,Georginio Rutter,750000,4,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/538977/transfer_id/3233067
TSG,FRA1,TSG 1899 Hoffenheim,FC Girondins Bordeaux,Anthony Modeste,3.000.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/50512/transfer_id/903716
TSG,GER2,TSG 1899 Hoffenheim,MSV Duisburg,Tom Starke,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/80/transfer_id/414621
TSG,GER2,TSG 1899 Hoffenheim,VfL Bochum,Marco Terrazzino,0,1,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/67869/transfer_id/1478972
TSG,GER2,TSG 1899 Hoffenheim,SpVgg Greuther Fuerth,Robert Zulj,0,1,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/122676/transfer_id/1807835
TSG,GER2,TSG 1899 Hoffenheim,SSV Jahn Regensburg,Philipp Pentke,0,1,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/8246/transfer_id/2441977
TSG,GER2,TSG 1899 Hoffenheim,Hannover 96,Mcihael Esser,0,1,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/61989/transfer_id/2757684
TSG,GER2,TSG 1899 Hoffenheim,Eintracht Braunschweig,Ermin Bicakcic,400.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51676/transfer_id/1064275
TSG,GER2,TSG 1899 Hoffenheim,1.FC Nuernberg,Antonio Colak,500000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1331/transfer_id/1234333
TSG,GER2,TSG 1899 Hoffenheim,TSV 1860 Muenchen,Kevin Volland,1.000.000,4,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/82009/transfer_id/523609
TSG,GER2,TSG 1899 Hoffenheim,Karlsruher SC,Kevin Akpoguma,1.000.000,4,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/160241/transfer_id/870456
TSG,GER2,TSG 1899 Hoffenheim,TSV 1860 Muenchen,Peniel Mlapa,1.300.000,5,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/70280/transfer_id/423140
TSG,GER2,TSG 1899 Hoffenheim,SSV Jahn Regensburg,Sargis Adamyan,1500000,5,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/125614/transfer_id/2475744
TSG,GER2,TSG 1899 Hoffenheim,SC Freiburg,Jonathan Schmid,3500000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/70285/transfer_id/1253189
TSG,GER2,TSG 1899 Hoffenheim,VfB Stuttgart,Lukas Rupp,5.000.000,5,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/82863/transfer_id/1518141
TSG,GER2,TSG 1899 Hoffenheim,1.FC Koeln,Leonardo Bittencourt,6000000,6,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93844/transfer_id/2107619
TSG,GER2,TSG 1899 Hoffenheim,Hannover 96,Ihlas Bebou,8500000,6,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/237164/transfer_id/2477285
TSG,GER3,TSG 1899 Hoffenheim,SpVgg Unterhachingen,Janik Haberer,500.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/177779/transfer_id/1001140
TSG,HSV,TSG 1899 Hoffenheim,Hamburger SV,Kerem Demirbay,4.700.000,5,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/125858/transfer_id/1534438
TSG,ITA1,TSG 1899 Hoffenheim,Palermo FC,Afriyie Acquah,2500000,5,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/145581/transfer_id/827489
TSG,ITA1,TSG 1899 Hoffenheim,SSC Neapel,Eduardo Vargas,6000000,6,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/89718/transfer_id/1327145
TSG,JAP1,TSG 1899 Hoffenheim,Gamba Osaka,Takashi Usami,300000,3,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/111881/transfer_id/720289
TSG,JAP1,TSG 1899 Hoffenheim,Albirex Niigata,Jin su Kim,1.000.000,4,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/132529/transfer_id/1069045
TSG,KOE,TSG 1899 Hoffenheim,1.FC Koeln,Kevin Vogt,3.000.000,5,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/84435/transfer_id/1492292
TSG,M05,TSG 1899 Hoffenheim,1.FSV Mainz 05,Eugen Polanski,3000000,5,1,1213,2013,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/19548/transfer_id/827799
TSG,NED1,TSG 1899 Hoffenheim,FC Twente Enschede,Stefan Thesker,100000,2,1,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/175709/transfer_id/664816
TSG,NED1,TSG 1899 Hoffenheim,SC Heerenveen,Mark Uth,2200000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/112935/transfer_id/1275025
TSG,NED1,TSG 1899 Hoffenheim,Heracles Almelo,Justin Hoogma,2.700.000,5,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/411287/transfer_id/1791741
TSG,NED1,TSG 1899 Hoffenheim,PSV Eindhoven,Joshua Brenet,3500000,5,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/207006/transfer_id/2115274
TSG,NOR1,TSG 1899 Hoffenheim,Rosenborg BK,Tarik Elyounoussi,3.000.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/37287/transfer_id/887734
TSG,PER1,TSG 1899 Hoffenheim,Alianza Lima,Junior Ponce,300000,3,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/214654/transfer_id/816156
TSG,RUS1,TSG 1899 Hoffenheim,Dinamo Moskau,Kevin Kuranyi,0,1,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1331/transfer_id/1234333
TSG,RUS1,TSG 1899 Hoffenheim,ZSKA Moskau,Steven Zuber,3.900.000,5,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/68033/transfer_id/1111060
TSG,S04,TSG 1899 Hoffenheim,FC Schalke 04,Sebastian Rudy,850000,1,2,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/57051/transfer_id/2583604
TSG,S04,TSG 1899 Hoffenheim,FC Schalke 04,Sebastian Rudy,99,1,2,2021,2020,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/57051/transfer_id/3088260
TSG,S04,TSG Hoffenheim,FC Schalke 04,Adam Szalai,6.000.000,6,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39106/transfer_id/1078950
TSG,SCF,TSG 1899 Hoffenheim,SC Freiburg,Danny Williams,200000,3,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/38383/transfer_id/629733
TSG,SCF,TSG 1899 Hoffenheim,SC Freiburg,Oliver Baumann,5.500.000,6,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/55089/transfer_id/1061811
TSG,SGE,TSG 1899 Hoffenheim,Eintracht Frankfurt,Pirmin Schwegler,1.900.000,5,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/14533/transfer_id/1058597
TSG,SGE,TSG 1899 Hoffenheim,Eintracht Frankfurt,Mijat Gacinovic,3000000,5,1,2021,2020,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/215864/transfer_id/3000358
TSG,SGF,TSG 1899 Hoffenheim,SpVgg Greuther Fuerth,Stephan Schroeck,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/27611/transfer_id/703687
TSG,SOU1,TSG 1899 Hoffenheim,Kaizer Chiefs,Knowledge Musona,1500000,5,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120785/transfer_id/611721
TSG,SRB1,TSG 1899 Hoffenheim,FK Rad Belgrad,Filip Malbasic,1200000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/162652/transfer_id/742815
TSG,SUI1,TSG 1899 Hoffenheim,Grasshopper Club Zuerich,Gregor Kobel,138.000,3,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/257814/transfer_id/1492173
TSG,SUI1,TSG 1899 Hoffenheim,FC Basel 1893,Sandro Wieser,1000000,4,1,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/130227/transfer_id/662542
TSG,SUI1,TSG 1899 Hoffenheim,FC Basel 1893,Fabian Schaer,4000000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/135343/transfer_id/1254040
TSG,SUI1,TSG 1899 Hoffenheim,BSC Young Boys,Kasim Adams,8000000,6,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/263801/transfer_id/2194784
