from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
WOL,AUT1,VfL Wolfsburg,LASK,Pavao Pervan,500000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51977/transfer_id/2137450
WOL,AUT1,VfL Wolfsburg,LASK,Joao Victor,3500000,5,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/381724/transfer_id/2471394
WOL,AUT1,VfL Wolfsburg,Red Bull Salzburg,Marin Pongracic,10000000,6,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/282144/transfer_id/2758869
WOL,AUT1,VfL Wolfsburg,Red Bull Salzburg,Xaver Schlager,15000000,7,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/223979/transfer_id/2524562
WOL,B04,VfL Wolfsburg,Bayer 04 Leverkusen,Patrick Helmes,5.000.000,5,1,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/6322/transfer_id/534180
WOL,B04,VfL Wolfsburg,Bayer 04 Leverkusen,Admir Mehmedi,8.000.000,6,1,1718,2018,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/66058/transfer_id/2021876
WOL,BEL1,VfL Wolfsburg,SV Zulte Waregem,Junior Malanda,1.700.000,5,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/129593/transfer_id/922193
WOL,BEL1,VfL Wolfsburg,RSC Anderlecht,Jan Polak,3.000.000,5,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3530/transfer_id/534477
WOL,BEL1,VfL Wolfsburg,KV Oostende,Landry Dimata,11.500.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/311489/transfer_id/1798322
WOL,BMG,VfL Wolfsburg,Borussia Moenchengladbach,Max Kruse,12000000,7,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/36182/transfer_id/1243278
WOL,BRA1,VfL Wolfsburg,Vasca da Gama Rio de Janeiro,Fagner,3000000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/47592/transfer_id/755911
WOL,BRA1,VfL Wolfsburg,SC Internacional Porto Alegre,Wiliam,5.000.000,5,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/341710/transfer_id/1794111
WOL,BRA2,VfL Wolfsburg,Tombense Futebol Clube,Cicero,800.000,4,2,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/17663/transfer_id/448469
WOL,BRA2,VfL Wolfsburg,Goias FC,Bruno Henrique,4500000,5,1,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/353108/transfer_id/1422294
WOL,BRE,VfL Wolfsburg,SV Werder Bremen,Aaron Hunt,0,1,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/4687/transfer_id/1042568
WOL,BRE,VfL Wolfsburg,SV Werder Bremen,Naldo,4800000,5,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/32213/transfer_id/755695
WOL,BSC,VfL Wolfsburg,Hertha BSC,John Anthony Brooks,17.000.000,7,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/124732/transfer_id/1779255
WOL,BVB,VfL Wolfsburg,Borussia Dortmund,Jakub Blaszczykowski,5.000.000,5,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/29835/transfer_id/1556142
WOL,BVB,VfL Wolfsburg,Borussia Dortmund,Ivan Perisic,8000000,6,1,1213,2013,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/42460/transfer_id/818103
WOL,CHN1,VfL Wolfsburg,Beijing Guoan,Xizhe Zhang,1.500.000,5,1,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/150163/transfer_id/1160649
WOL,CRO1,VfL Wolfsburg,GNK Dinamo Zagreb,Mario Mandzukic,7.000.000,6,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/34572/transfer_id/450756
WOL,CRO1,VfL Wolfsburg,GNK Dinamo Zagreb,Josip Brekalo,10.000.000,7,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/293169/transfer_id/1483616
WOL,CZE1,VfL Wolfsburg,FC Hradec Kralove,Vaclav Pilar,1500000,5,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/63955/transfer_id/672099
WOL,CZE1,VfL Wolfsburg,FC Viktoria Pilsen,Petr Jiracek,3500000,5,1,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/63737/transfer_id/661116
WOL,ENG1,VfL Wolfsburg,FC Liverpool,Sotiris Kyrgiakos,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/9706/transfer_id/626125
WOL,ENG1,VfL Wolfsburg,FC Arsenal,Nicklas Bendtner,0,1,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/34557/transfer_id/1111968
WOL,ENG1,VfL Wolfsburg,Manchester City,Lukas Nmecha,99,1,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/314288/transfer_id/2587826
WOL,ENG1,VfL Wolfsburg,Tottenham Hotspur,Ismail Azzaoui,1000000,4,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/289507/transfer_id/1332834
WOL,ENG1,VfL Wolfsburg,Stoke City,Philipp Wollscheid,1.500.000,5,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53173/transfer_id/1588152
WOL,ENG1,VfL Wolfsburg,FC Arsenal,Kaylen Hinds,1.500.000,5,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/290788/transfer_id/1827201
WOL,ENG1,VfL Wolfsburg,Stoke City,Tuncay Sanli,4.500.000,5,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/6934/transfer_id/534181
WOL,ENG1,VfL Wolfsburg,FC Liverpool,Divock Origi,6.500.000,6,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/148368/transfer_id/1899691
WOL,ENG1,VfL Wolfsburg,FC Chelsea,Kevin De Bruyne,22.000.000,7,1,1314,2014,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/88755/transfer_id/1002114
WOL,ENG1,VfL Wolfsburg,FC Chelsea,Andre Schuerrle,32.000.000,7,1,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/58205/transfer_id/1185960
WOL,ENG2,VfL Wolfsburg,West Ham United,Thomas Hitzlsperger,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1573/transfer_id/598799
WOL,ESP1,VfL Wolfsburg,FC Barcelona,Aleksandr Hleb,700000,4,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/597/transfer_id/630049
WOL,ESP1,VfL Wolfsburg,Real Madrid,Borja Mayoral,3.000.000,5,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/298976/transfer_id/1544806
WOL,ESP1,VfL Wolfsburg,Atletico Madrid,Josuha Guilavogui,3.000.000,5,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93704/transfer_id/1484627
WOL,ESP1,VfL Wolfsburg,Atletico Madrid,Josuha Guilavogui,6.800.000,6,2,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93704/transfer_id/1106579
WOL,ESP1,VfL Wolfsburg,FC Malaga,Ignacio Camacho,14.000.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/58874/transfer_id/1827387
WOL,FCA,VfL Wolfsburg,FC Augsburg,Paul Verhaegh,1.500.000,5,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/18021/transfer_id/1869746
WOL,FCB,VfL Wolfsburg,FC Bayern Muenchen,Ivica Olic,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/7427/transfer_id/712463
WOL,FCB,VfL Wolfsburg,FC Bayern Muenchen,Dante,4500000,5,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/16136/transfer_id/1332287
WOL,FCB,VfL Wolfsburg,FC Bayern Muenchen,Luiz Gustavo,16.000.000,7,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/10471/transfer_id/932236
WOL,FCK,VfL Wolfsburg,1.FC Kaiserslautern,Srdjan Lakic,0,1,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/34579/transfer_id/532302
WOL,FCN,VfL Wolfsburg,1.FC Nuernberg,Noah Korczowski,0,1,1,1314,2014,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/119194/transfer_id/1010593
WOL,FCN,VfL Wolfsburg,1.FC Nuernberg,Timm Klose,6.000.000,6,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/65255/transfer_id/897177
WOL,FRA1,VfL Wolfsburg,AS Monaco,Dieumerci Mbokani,1.000.000,4,2,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/44624/transfer_id/532238
WOL,FRA1,VfL Wolfsburg,FC Stade Rennes,Paul Georges Ntep,5.000.000,5,1,1617,2017,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/148955/transfer_id/1667856
WOL,FRA1,VfL Wolfsburg,Montpellier HSC,Jerome Roussillon,5000000,5,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/127076/transfer_id/2213235
